"","flag","situacao"
"268","AURORA_CE","Ok"
"269","AURORA_DO_PARA_PARA","Ok"
"270","AUTAZES_AMAZONAS","Ok"
"271",NA,"Ok"
"272","AVANHANDAVA_SP","Ok"
"273","AVARE_SP","Ok"
"274","AVEIRO_PARA","Ok"
"275","BADY_BASSITT_SP","Ok"
"276","BAGE_RS","Ok"
"277","BAGRE_PARA","Ok"
"278","BAIANOPOLIS_BAHIA","Ok"
"279","BAIAO_PARA","Ok"
"280","BAIXA_GRANDE_BAHIA","Ok"
"281","BALBINOS_SP","Ok"
"282","BALNEARIO_ARROIO_DO_SILVA_SC","Ok"
"283","BALNEARIO_BARRA_DO_SUL_SC","Ok"
"284","BALNEARIO_CAMBORIU_SC","Ok"
"285","BALNEARIO_GAIVOTA_SC","Ok"
"286","BALNEARIO_PICARRAS_SC","Ok"
"287","BALNEARIO_PINHAL_RS","Ok"
"288",NA,"Ok"
"289","BALSAMO_SP","Ok"
"290","BALSAS_MA","Ok"
"291","BANANAL_SP","Ok"
"292","BANDEIRA_MG","Ok"
"293","BANDEIRANTE_SC","Ok"
"294","BANDEIRANTES_MS","Ok"
"295","BANNACH_PARA","Ok"
"296","BANZAE_BAHIA","Ok"
"297","BARAO_RS","Ok"
"298","BARAO_DE_ANTONINA_SP","Ok"
"299","BARAO_DE_COCAIS_MG","Ok"
"300","BARAO_DE_COTEGIPE_RS","Ok"
"301","BARAO_DE_MELGACO_MT","Ok"
"302","BARAO_DE_TRIUNFO_RS","Ok"
"303","BARAUNA_PARAIBA","Ok"
"304","BARBACENA_MG","Ok"
"305","BARCARENA_PARA","Ok"
"306","BARCELONA_RN","Ok"
"307","BARCELOS_AMAZONAS","Ok"
"308","BARIRI_SP","Ok"
"309","BARRA_BAHIA","Ok"
"310","BARRA_BONITA_SP","Ok"
"311","BARRA_BONITA_SC","Ok"
"312","BARRACAO_PR","Ok"
"313","BARRACAO_RS","Ok"
"314","BARRA_DA_ESTIVA_BAHIA","Ok"
"315","BARRA_DE_SANTA_ROSA_PARAIBA","Ok"
"316","BARRA_DE_SAO_MIGUEL_AL","Ok"
"317","BARRA_DO_BUGRES_MT","Ok"
"318","BARRA_DO_CHOCA_BAHIA","Ok"
"319","BARRA_DO_CORDO_MA","Ok"
"320","BARRA_DO_GARCAS_MT","Ok"
"321","BARRA_DO_GUARITA_RS","Ok"
"322","BARRA_DO_JACARE_PR","Ok"
"323","BARRA_DO_MENDES_BAHIA","Ok"
"324","BARRA_DO_PIRAI_RJ","Ok"
"325","BARRA_DO_QUARAI_RS","Ok"
"326","BARRA_DO_RIBEIRO_RS","Ok"
"327","BARRA_DO_RIO_AZUL_RS","Ok"
"328","BARRA_DO_ROCHA_BAHIA","Ok"
"329","BARRA_DO_TURVO_SP","Ok"
"330","BARRA_FUNDA_RS","Ok"
"331","BARRA_MANSA_RJ","Ok"
"332","BARRAS_PIAUI","Ok"
"333","BARRA_VELHA_SC","Ok"
"334","BARREIRAS_BAHIA","Ok"
"335","BARREIRINHAS_MA","Ok"
"336","BARRETOS_SP","Ok"
"337","BARRINHA_SP","Ok"
"338","BARRO_ALTO_BAHIA","Ok"
"339","BARRO_DURO_PIAUI","Ok"
"340","BARRO_PRETO_BAHIA","Ok"
"341","BARROSO_MG","Ok"
"342","BARUERI_SP","Ok"
"343","BASTOS_SP","Ok"
"344","BATAGUASSU_MS","Ok"
"345","BATALHA_AL","Ok"
"346","BATALHA_PIAUI","Ok"
"347","BATATAIS_SP","Ok"
"348","BATAYPORA_MS","Ok"
"349","BATURITE_CE","Ok"
"350","BAURU_SP","Ok"
"351","BAYEUX_PARAIBA","Ok"
"352","BEBEDOURO_SP","Ok"
"353","BELA_VISTA_MS","Ok"
"354","BELA_VISTA_DA_CAROBA_PR","Ok"
"355","BELA_VISTA_DO_PIAUI_PIAUI","Ok"
